Instance,Configuration,Seed,Target,BestSol,TimeMS,Iteration
instance_n200_sd08_0,PP1,0,null,79,66,0
instance_n200_sd08_0,PP2,0,null,79,110,0
instance_n200_sd08_0,PP3,0,null,79,67,0
instance_n200_sd08_0,PP4,0,null,79,53,0
instance_n200_sd08_1,PP2,0,null,85,52,0
instance_n200_sd08_1,PP3,0,null,85,54,0
instance_n200_sd08_1,PP1,0,null,85,54,0
instance_n200_sd08_1,PP4,0,null,85,54,0
instance_n200_sd08_2,PP1,0,null,80,123,0
instance_n200_sd08_2,PP1,0,null,81,165,42
instance_n200_sd08_2,PP1,0,null,82,167,43
instance_n200_sd08_2,PP1,0,null,83,6592,20000
instance_n200_sd08_2,PP1,0,null,84,12405,30000
instance_n200_sd08_2,PP1,0,null,85,25125,50000
instance_n200_sd08_3,PP1,0,null,92,62,0
instance_n200_sd08_3,PP1,0,null,93,72,20
instance_n200_sd08_3,PP1,0,null,94,73,21
instance_n200_sd08_2,PP3,0,null,80,61,0
instance_n200_sd08_2,PP3,0,null,81,95,42
instance_n200_sd08_2,PP3,0,null,82,110,43
instance_n200_sd08_2,PP3,0,null,83,6768,20000
instance_n200_sd08_2,PP3,0,null,84,12383,30000
instance_n200_sd08_2,PP3,0,null,85,25110,50000
instance_n200_sd08_2,PP4,0,null,80,61,0
instance_n200_sd08_2,PP4,0,null,81,89,42
instance_n200_sd08_2,PP4,0,null,82,91,43
instance_n200_sd08_2,PP4,0,null,83,6282,20000
instance_n200_sd08_2,PP4,0,null,84,12154,30000
instance_n200_sd08_2,PP4,0,null,85,24570,50000
instance_n200_sd08_2,PP2,0,null,80,55,0
instance_n200_sd08_2,PP2,0,null,81,81,42
instance_n200_sd08_2,PP2,0,null,82,82,43
instance_n200_sd08_2,PP2,0,null,83,6668,20000
instance_n200_sd08_2,PP2,0,null,84,12269,30000
instance_n200_sd08_2,PP2,0,null,85,24931,50000
instance_n200_sd08_3,PP2,0,null,92,53,0
instance_n200_sd08_3,PP2,0,null,93,101,20
instance_n200_sd08_3,PP2,0,null,94,103,21
instance_n200_sd08_3,PP4,0,null,92,70,0
instance_n200_sd08_3,PP4,0,null,93,80,20
instance_n200_sd08_3,PP4,0,null,94,81,21
instance_n200_sd08_3,PP3,0,null,92,68,0
instance_n200_sd08_3,PP3,0,null,93,89,20
instance_n200_sd08_3,PP3,0,null,94,90,21
instance_n200_sd08_4,PP1,0,null,78,52,0
instance_n200_sd08_4,PP2,0,null,78,77,0
instance_n200_sd08_4,PP4,0,null,78,51,0
instance_n200_sd08_4,PP3,0,null,78,52,0
instance_n200_sd10_0,PP1,0,null,111,62,0
instance_n200_sd10_0,PP1,0,null,112,83,40
instance_n200_sd10_0,PP1,0,null,113,84,41
instance_n200_sd10_0,PP2,0,null,111,70,0
instance_n200_sd10_0,PP2,0,null,112,114,40
instance_n200_sd10_0,PP2,0,null,113,115,41
instance_n200_sd10_0,PP3,0,null,111,70,0
instance_n200_sd10_0,PP3,0,null,112,95,40
instance_n200_sd10_0,PP3,0,null,113,96,41
instance_n200_sd10_0,PP4,0,null,111,66,0
instance_n200_sd10_0,PP4,0,null,112,89,40
instance_n200_sd10_0,PP4,0,null,113,91,41
instance_n200_sd10_1,PP1,0,null,106,61,0
instance_n200_sd10_1,PP1,0,null,107,84,42
instance_n200_sd10_1,PP1,0,null,108,86,43
instance_n200_sd10_1,PP1,0,null,109,87,44
instance_n200_sd10_1,PP1,0,null,110,5088,20000
instance_n200_sd10_1,PP1,0,null,111,5111,10042
instance_n200_sd10_1,PP1,0,null,112,5112,10043
instance_n200_sd10_1,PP1,0,null,113,5113,10044
instance_n200_sd10_1,PP2,0,null,106,66,0
instance_n200_sd10_1,PP2,0,null,107,88,42
instance_n200_sd10_1,PP2,0,null,108,89,43
instance_n200_sd10_1,PP2,0,null,109,90,44
instance_n200_sd10_1,PP2,0,null,110,5805,20000
instance_n200_sd10_1,PP2,0,null,111,5829,10042
instance_n200_sd10_1,PP2,0,null,112,5830,10043
instance_n200_sd10_1,PP2,0,null,113,5832,10044
instance_n200_sd10_1,PP3,0,null,106,66,0
instance_n200_sd10_1,PP3,0,null,107,88,42
instance_n200_sd10_1,PP3,0,null,108,89,43
instance_n200_sd10_1,PP3,0,null,109,90,44
instance_n200_sd10_1,PP3,0,null,110,6291,20000
instance_n200_sd10_1,PP3,0,null,111,6321,10042
instance_n200_sd10_1,PP3,0,null,112,6322,10043
instance_n200_sd10_1,PP3,0,null,113,6323,10044
instance_n200_sd10_1,PP4,0,null,106,90,0
instance_n200_sd10_1,PP4,0,null,107,125,42
instance_n200_sd10_1,PP4,0,null,108,127,43
instance_n200_sd10_1,PP4,0,null,109,129,44
